num,module,kind,table,no,name,level,DT,length,DEN,Desc,OclassQ,Oclass,P,R,AQ,A
112,General Ledger,BBIE,Account Voucher,14,Debit Amount of Functional Currency,1,D20.2,20,GB_ Account Voucher. Debit Amount of Functional Currency, Note:The debit amount of functional currency,GB,Account Voucher,Debit Amount of Functional Currency,Amount,,
113,General Ledger,BBIE,Account Voucher,15,Credit Amount,1,D20.6,20,GB_ Account Voucher. Credit Amount, Note:The credit amount,GB,Account Voucher,Credit Amount,Amount,,
114,General Ledger,BBIE,Account Voucher,16,Credit Amount of Local Currency,1,D20.2,20,GB_ Account Voucher. Credit Amount of Local Currency, Note:The credit amount of local currency,GB,Account Voucher,Credit Amount of Local Currency,Amount,,
115,General Ledger,BBIE,Account Voucher,17,Credit Amount of Functional Currency,1,D20.2,20,GB_ Account Voucher. Credit Amount of Functional Currency, Note:The credit amount of functional currency,GB,Account Voucher,Credit Amount of Functional Currency,Amount,,
116,General Ledger,BBIE,Account Voucher,18,Code of Exchange Rate Type,1,C..60,60,GB_ Account Voucher. Code of Exchange Rate Type,The type code of exchange rate of the base currency to a target currency,GB,Account Voucher,Code of Exchange Rate Type,Identifier,,
117,General Ledger,BBIE,Account Voucher,19,Exchange Rate,1,D13.4,13,GB_ Account Voucher. Exchange Rate,The exchange rate,GB,Account Voucher,Exchange Rate,Rate,,
118,General Ledger,BBIE,Account Voucher,20,Unit Price,1,D20.4,20,GB_ Account Voucher. Unit Price,The price per unit,GB,Account Voucher,Unit Price,Amount,,
119,General Ledger,BBIE,Account Voucher,21,Value of Extensible Field Structure of Document,1,C..300,300,GB_ Account Voucher. Value of Extensible Field Structure of Document,The value defined by user in current document header; user-defined fields value of present voucher head,GB,Account Voucher,Value of Extensible Field Structure of Document,Text,,
120,General Ledger,BBIE,Account Voucher,22,Value of Extensible Field Structure of Entry,1,C..300,300,GB_ Account Voucher. Value of Extensible Field Structure of Entry,,GB,Account Voucher,Value of Extensible Field Structure of Entry,Text,,
121,General Ledger,BBIE,Account Voucher,23,Code of Settlement Method,1,C..60,60,GB_ Account Voucher. Code of Settlement Method,The code of the form of funds settlement,GB,Account Voucher,Code of Settlement Method,Identifier,,
122,General Ledger,BBIE,Account Voucher,24,Document Type,1,C..60,60,GB_ Account Voucher. Document Type,"The document type Note:e.g., 'bill', 'receipts'",GB,Account Voucher,Document Type,Identifier,,
123,General Ledger,BBIE,Account Voucher,25,Document Number,1,C..60,60,GB_ Account Voucher. Document Number,The serial number of document,GB,Account Voucher,Document Number,Identifier,,
124,General Ledger,BBIE,Account Voucher,26,Document Date,1,C8,8,GB_ Account Voucher. Document Date,The document date Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Account Voucher,Document Date,Date,,
125,General Ledger,BBIE,Account Voucher,27,Number of Attachments,1,I..4,4,GB_ Account Voucher. Number of Attachments,The number of attachments,GB,Account Voucher,Number of Attachments,Identifier,,
126,General Ledger,BBIE,Account Voucher,28,Accountant Preparing Document,1,C..30,30,GB_ Account Voucher. Accountant Preparing Document,The accountant preparing document,GB,Account Voucher,Accountant Preparing Document,Identifier,,
127,General Ledger,BBIE,Account Voucher,29,Accountant Verifying Document,1,C..30,30,GB_ Account Voucher. Accountant Verifying Document,The accountant verifying document,GB,Account Voucher,Accountant Verifying Document,Identifier,,
128,General Ledger,BBIE,Account Voucher,30,Accountant in Charge of Entering,1,C..30,30,GB_ Account Voucher. Accountant in Charge of Entering,The accountant in charge of entering,GB,Account Voucher,Accountant in Charge of Entering,Identifier,,
129,General Ledger,BBIE,Account Voucher,31,Sign of Entering,1,C1,1,GB_ Account Voucher. Sign of Entering,"The sign of entering Note:'0' means 'not booking', '1' means 'entering'",GB,Account Voucher,Sign of Entering,Indicator,,
130,General Ledger,BBIE,Account Voucher,32,Sign of Cancellation,1,C1,1,GB_ Account Voucher. Sign of Cancellation,"The sign of cancellation for journal entry already formed but not yet posted Note:'1' means 'cancelled', '0' means 'not cancelled'",GB,Account Voucher,Sign of Cancellation,Indicator,,
131,General Ledger,BBIE,Account Voucher,33,Source Module of Journal Entry,1,C..20,20,GB_ Account Voucher. Source Module of Journal Entry,"The name of source module of journal entry Note:e.g., 'null' for 'general ledger', others for 'receivables', 'payables', 'salary', 'fixed assets', etc.",GB,Account Voucher,Source Module of Journal Entry,Identifier,,
132,General Ledger,IDBIE,Cash Flow Document Item Data,1,Number of Journal Entry Type,1,C..60,60,GB_ Cash Flow Document Item Data. ID,The number of journal entry type,GB,Cash Flow Document Item Data,Identification,Identifier,,
133,General Ledger,BBIE,Cash Flow Document Item Data,2,Number of Journal Entry,1,C..60,60,GB_ Cash Flow Document Item Data. Number of Journal Entry,,GB,Cash Flow Document Item Data,Number of Journal Entry,Identifier,,
134,General Ledger,BBIE,Cash Flow Document Item Data,3,Currency Code,1,C..10,10,GB_ Cash Flow Document Item Data. Currency Code,The currency code Note:According to the ISO 4217:2001,GB,Cash Flow Document Item Data,Currency Code,Identifier,,
135,General Ledger,BBIE,Cash Flow Document Item Data,4,Line Number of Cash Flow,1,C..20,20,GB_ Cash Flow Document Item Data. Line Number of Cash Flow,The sequential line number of cash flow,GB,Cash Flow Document Item Data,Line Number of Cash Flow,Identifier,,
136,General Ledger,BBIE,Cash Flow Document Item Data,5,Summary of Cash Flow,1,C..300,300,GB_ Cash Flow Document Item Data. Summary of Cash Flow,A brief description of the operating cash flow,GB,Cash Flow Document Item Data,Summary of Cash Flow,Text,,
137,General Ledger,BBIE,Cash Flow Document Item Data,6,Code of Cash Flow Item,1,C..60,60,GB_ Cash Flow Document Item Data. Code of Cash Flow Item,The code of cash flow item,GB,Cash Flow Document Item Data,Code of Cash Flow Item,Identifier,,
138,General Ledger,BBIE,Cash Flow Document Item Data,7,Property of Cash Flow Item,1,C1,1,GB_ Cash Flow Document Item Data. Property of Cash Flow Item,"The property of the cash flow item Note:'1' means 'inflow', '0' means 'outflow', '2' means 'unable to confirm'",GB,Cash Flow Document Item Data,Property of Cash Flow Item,Indicator,,
139,General Ledger,BBIE,Cash Flow Document Item Data,8,Cash Flow Amount of Local Currency,1,D20.2,20,GB_ Cash Flow Document Item Data. Cash Flow Amount of Local Currency,The cash flow amount of local currency,GB,Cash Flow Document Item Data,Cash Flow Amount of Local Currency,Amount,,
140,General Ledger,BBIE,Cash Flow Document Item Data,9,Cash Flow Amount of Functional Currency,1,D20.2,20,GB_ Cash Flow Document Item Data. Cash Flow Amount of Functional Currency,The cash flow amount of functional currency,GB,Cash Flow Document Item Data,Cash Flow Amount of Functional Currency,Amount,,
141,General Ledger,IDBIE,Report Set,1,Statement Number,1,C..20,20,GB_ Report Set. ID,The unique of statement,GB,Report Set,Identification,Identifier,,
142,General Ledger,BBIE,Report Set,2,Statement Name,1,C..60,60,GB_ Report Set. Statement Name,"The name of external statement Note:e.g., 'statement of financial position', 'statement of comprehensive income', 'statement of cash flow', 'statement of shareholder equity",GB,Report Set,Statement Name,Identifier,,
143,General Ledger,BBIE,Report Set,3,Date of Statement,1,C8,8,GB_ Report Set. Date of Statement,The date of statement Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Report Set,Date of Statement,Date,,
144,General Ledger,BBIE,Report Set,4,Reporting Period of Statement,1,C..6,6,GB_ Report Set. Reporting Period of Statement,"The reporting period of statement Note:e.g., the reporting period of the statement of comprehensive income is '2008', the reporting period of the report in December 2008 is '200812'",GB,Report Set,Reporting Period of Statement,Identifier,,
145,General Ledger,BBIE,Report Set,5,Accounting Entity,1,C..200,200,GB_ Report Set. Accounting Entity,The accounting entity,GB,Report Set,Accounting Entity,Text,,
146,General Ledger,BBIE,Report Set,6,Currency Unit,1,C..30,30,GB_ Report Set. Currency Unit,The currency unit Note:e.g. 1 thousand,GB,Report Set,Currency Unit,Identifier,,
147,General Ledger,IDBIE,Report Item Data,1,Statement Number,1,C..20,20,GB_ Report Item Data. ID,The unique of statement,GB,Report Item Data,Identification,Identifier,,
148,General Ledger,BBIE,Report Item Data,2,Number of Statement Item,1,C..20,20,GB_ Report Item Data. Number of Statement Item,The sequential number of statement item,GB,Report Item Data,Number of Statement Item,Identifier,,
149,General Ledger,BBIE,Report Item Data,3,Name of Statement Item,1,C..200,200,GB_ Report Item Data. Name of Statement Item,The name of statement item,GB,Report Item Data,Name of Statement Item,Text,,
150,General Ledger,BBIE,Report Item Data,4,Formula of Statement Item,1,C..2000,2000,GB_ Report Item Data. Formula of Statement Item,"The formula of statement items, such as reconciliation",GB,Report Item Data,Formula of Statement Item,Text,,
151,General Ledger,BBIE,Report Item Data,5,Amount of Statement Item,1,D20.2,20,GB_ Report Item Data. Amount of Statement Item,The amount of statement item,GB,Report Item Data,Amount of Statement Item,Amount,,
152,Receivable and Payable Account,IDBIE,Type of Document,1,Number of Document Type,1,C..60,60,GB_ Type of Document. ID,The serial number of document type,GB,Type of Document,Identification,Identifier,,
153,Receivable and Payable Account,BBIE,Type of Document,2,Name of Document Type,1,C..60,60,GB_ Type of Document. Name of Document Type,The name of document type,GB,Type of Document,Name of Document Type,Identifier,,
154,Receivable and Payable Account,IDBIE,Type of Transaction,1,Code of Transaction Type,1,C..60,60,GB_ Type of Transaction. ID,"The code of transaction type Note:The transaction type is a refinement of the document type, different types of transactions reflect different rules and processing procedures in business",GB,Type of Transaction,Identification,Identifier,,
155,Receivable and Payable Account,BBIE,Type of Transaction,2,Name of Transaction Type,1,C..60,60,GB_ Type of Transaction. Name of Transaction Type,The name of transaction type,GB,Type of Transaction,Name of Transaction Type,Identifier,,
156,Receivable and Payable Account,IDBIE,Statement of Receivable Account,1,Customer Number,1,C..60,60,GB_ Statement of Receivable Account. ID,The number of customer,GB,Statement of Receivable Account,Identification,Identifier,,
157,Receivable and Payable Account,BBIE,Statement of Receivable Account,2,Account Number,1,C..60,60,GB_ Statement of Receivable Account. Account Number," Note:The categorized code of each account, according to the accounting rules and business properties",GB,Statement of Receivable Account,Account Number,Identifier,,
158,Receivable and Payable Account,BBIE,Statement of Receivable Account,3,Date of Journal Entry,1,C8,8,GB_ Statement of Receivable Account. Date of Journal Entry,The date of making of journal entry Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Statement of Receivable Account,Date of Journal Entry,Date,,
159,Receivable and Payable Account,BBIE,Statement of Receivable Account,4,Entering Date,1,C8,8,GB_ Statement of Receivable Account. Entering Date,The entering date of accounting documents generated in receivable/receipts business or payable/payment business Note:'YYYYMMDD' according to the GB/T 7408-2005,GB,Statement of Receivable Account,Entering Date,Date,,
160,Receivable and Payable Account,BBIE,Statement of Receivable Account,5,Fiscal Year,1,C4,4,GB_ Statement of Receivable Account. Fiscal Year,The year of the current financial statement Note:e.g. '2010',GB,Statement of Receivable Account,Fiscal Year,Code,,
161,Receivable and Payable Account,BBIE,Statement of Receivable Account,6,Number of Accounting Period,1,C..15,15,GB_ Statement of Receivable Account. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Statement of Receivable Account,Number of Accounting Period,Identifier,,
162,Receivable and Payable Account,BBIE,Statement of Receivable Account,7,Number of Journal Entry Type,1,C..60,60,GB_ Statement of Receivable Account. Number of Journal Entry Type,The number of journal entry type,GB,Statement of Receivable Account,Number of Journal Entry Type,Identifier,,
163,Receivable and Payable Account,BBIE,Statement of Receivable Account,8,Number of Journal Entry,1,C..60,60,GB_ Statement of Receivable Account. Number of Journal Entry,,GB,Statement of Receivable Account,Number of Journal Entry,Identifier,,
164,Receivable and Payable Account,BBIE,Statement of Receivable Account,9,Functional Currency,1,C..30,30,GB_ Statement of Receivable Account. Functional Currency,The recording currency used in financial accounting of software Note:Indicated according to GB/T 12406-2008,GB,Statement of Receivable Account,Functional Currency,Identifier,,
165,Receivable and Payable Account,BBIE,Statement of Receivable Account,10,Exchange Rate,1,D13.4,13,GB_ Statement of Receivable Account. Exchange Rate,The exchange rate,GB,Statement of Receivable Account,Exchange Rate,Rate,,
166,Receivable and Payable Account,BBIE,Statement of Receivable Account,11,Debit or Credit Balance,1,C..4,4,GB_ Statement of Receivable Account. Debit or Credit Balance,"Debit or credit balance Note:e.g., 'credit' or 'debit'",GB,Statement of Receivable Account,Debit or Credit Balance,Identifier,,
167,Receivable and Payable Account,BBIE,Statement of Receivable Account,12,Balance of Functional Currency,1,D20.2,20,GB_ Statement of Receivable Account. Balance of Functional Currency,"The balance of receivables, payables or collection business and payment which measured in functional currency",GB,Statement of Receivable Account,Balance of Functional Currency,Amount,,
168,Receivable and Payable Account,BBIE,Statement of Receivable Account,13,Balance of Local Currency,1,D20.2,20,GB_ Statement of Receivable Account. Balance of Local Currency,The balance of account receivables or payables which is calculated in local currency,GB,Statement of Receivable Account,Balance of Local Currency,Amount,,
169,Receivable and Payable Account,BBIE,Statement of Receivable Account,14,Debit or Credit Amount of Functional Currency,1,D20.2,20,GB_ Statement of Receivable Account. Debit or Credit Amount of Functional Currency,The debit or credit amount of business in functional currency,GB,Statement of Receivable Account,Debit or Credit Amount of Functional Currency,Amount,,
170,Receivable and Payable Account,BBIE,Statement of Receivable Account,15,Name of Local Currency,1,C..30,30,GB_ Statement of Receivable Account. Name of Local Currency,The name of local currency,GB,Statement of Receivable Account,Name of Local Currency,Identifier,,
171,Receivable and Payable Account,BBIE,Statement of Receivable Account,16,Debit or Credit Amount of Local Currency,1,D20.2,20,GB_ Statement of Receivable Account. Debit or Credit Amount of Local Currency,The debit or credit amount of business in local currency Note:The exchange gains and losses recorded by the local currency may be 0,GB,Statement of Receivable Account,Debit or Credit Amount of Local Currency,Amount,,
172,Receivable and Payable Account,BBIE,Statement of Receivable Account,17,Summary,1,C..200,200,GB_ Statement of Receivable Account. Summary,A brief description of the business,GB,Statement of Receivable Account,Summary,Text,,
173,Receivable and Payable Account,BBIE,Statement of Receivable Account,18,Due Date,1,C8,8,GB_ Statement of Receivable Account. Due Date,"The due date of the account receivable Note:If a transaction has more than one due date, it is necessary to export each transaction due date as 'YYYYMMDD'",GB,Statement of Receivable Account,Due Date,Date,,
174,Receivable and Payable Account,BBIE,Statement of Receivable Account,19,Number of Write-Off Journal Entry,1,C..60,60,GB_ Statement of Receivable Account. Number of Write-Off Journal Entry,"The number of write-off journal entry corresponding to the current transaction Note:1)If the current document is a receivable sheet (invoice), the write-off journal entry is the certification number of the corresponding cash register. If the current document is a receipt note, the write-off journal entry is the certification number of the corresponding note receivable. (2)If a business has been involved in several verification, it is necessary to export corresponding write-off journal entry according to document number",GB,Statement of Receivable Account,Number of Write-Off Journal Entry,Identifier,,
175,Receivable and Payable Account,BBIE,Statement of Receivable Account,20,Date of Reconciliation,1,C8,8,GB_ Statement of Receivable Account. Date of Reconciliation,The date of reconciliation of the current business Note:'YYYYMMDD' according to the GB/T 7408-2005,GB,Statement of Receivable Account,Date of Reconciliation,Date,,
176,Receivable and Payable Account,BBIE,Statement of Receivable Account,21,Number of Document Type,1,C..60,60,GB_ Statement of Receivable Account. Number of Document Type,The serial number of document type,GB,Statement of Receivable Account,Number of Document Type,Identifier,,
177,Receivable and Payable Account,BBIE,Statement of Receivable Account,22,Code of Transaction Type,1,C..60,60,GB_ Statement of Receivable Account. Code of Transaction Type,"The code of transaction type Note:The transaction type is a refinement of the document type, different types of transactions reflect different rules and processing procedures in business",GB,Statement of Receivable Account,Code of Transaction Type,Identifier,,
178,Receivable and Payable Account,BBIE,Statement of Receivable Account,23,Number of Document,1,C..60,60,GB_ Statement of Receivable Account. Number of Document,The serial number of receivables invoices,GB,Statement of Receivable Account,Number of Document,Identifier,,
179,Receivable and Payable Account,BBIE,Statement of Receivable Account,24,Invoice Number,1,C..60,60,GB_ Statement of Receivable Account. Invoice Number,The invoice number of receivables,GB,Statement of Receivable Account,Invoice Number,Identifier,,
180,Receivable and Payable Account,BBIE,Statement of Receivable Account,25,Contract Number,1,C..60,60,GB_ Statement of Receivable Account. Contract Number,The related contract number of the receivables,GB,Statement of Receivable Account,Contract Number,Identifier,,
181,Receivable and Payable Account,BBIE,Statement of Receivable Account,26,Item Number,1,C..60,60,GB_ Statement of Receivable Account. Item Number,The recording the related item number of the receivables,GB,Statement of Receivable Account,Item Number,Identifier,,
182,Receivable and Payable Account,BBIE,Statement of Receivable Account,27,Code of Settlement Method,1,C..60,60,GB_ Statement of Receivable Account. Code of Settlement Method,The code of the form of funds settlement,GB,Statement of Receivable Account,Code of Settlement Method,Identifier,,
183,Receivable and Payable Account,BBIE,Statement of Receivable Account,28,Payment Date,1,C8,8,GB_ Statement of Receivable Account. Payment Date,The payment date of the account receivable by the customer Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Statement of Receivable Account,Payment Date,Date,,
184,Receivable and Payable Account,BBIE,Statement of Receivable Account,29,Write-Off Sign,1,C1,1,GB_ Statement of Receivable Account. Write-Off Sign,"The write-off sign of transaction business Note:'0' means that it is not written off, '1'means that it has been written off",GB,Statement of Receivable Account,Write-Off Sign,Indicator,,
185,Receivable and Payable Account,BBIE,Statement of Receivable Account,30,Draft Number,1,C..60,60,GB_ Statement of Receivable Account. Draft Number,The draft number in settlement,GB,Statement of Receivable Account,Draft Number,Identifier,,
186,Receivable and Payable Account,IDBIE,Statement of Payable Account,1,Supplier Code,1,C..60,60,GB_ Statement of Payable Account. ID,Explanation: The code of supplier,GB,Statement of Payable Account,Identification,Identifier,,
187,Receivable and Payable Account,BBIE,Statement of Payable Account,2,Account Number,1,C..60,60,GB_ Statement of Payable Account. Account Number," Note:The categorized code of each account, according to the accounting rules and business properties",GB,Statement of Payable Account,Account Number,Identifier,,
188,Receivable and Payable Account,BBIE,Statement of Payable Account,3,Date of Journal Entry,1,C8,8,GB_ Statement of Payable Account. Date of Journal Entry,The date of making of journal entry Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Statement of Payable Account,Date of Journal Entry,Date,,
189,Receivable and Payable Account,BBIE,Statement of Payable Account,4,Entering Date,1,C8,8,GB_ Statement of Payable Account. Entering Date,The entering date of accounting documents generated in receivable/receipts business or payable/payment business Note:'YYYYMMDD' according to the GB/T 7408-2005,GB,Statement of Payable Account,Entering Date,Date,,
190,Receivable and Payable Account,BBIE,Statement of Payable Account,5,Fiscal Year,1,C4,4,GB_ Statement of Payable Account. Fiscal Year,The year of the current financial statement Note:e.g. '2010',GB,Statement of Payable Account,Fiscal Year,Code,,
191,Receivable and Payable Account,BBIE,Statement of Payable Account,6,Number of Accounting Period,1,C..15,15,GB_ Statement of Payable Account. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Statement of Payable Account,Number of Accounting Period,Identifier,,
192,Receivable and Payable Account,BBIE,Statement of Payable Account,7,Number of Journal Entry Type,1,C..60,60,GB_ Statement of Payable Account. Number of Journal Entry Type,The number of journal entry type,GB,Statement of Payable Account,Number of Journal Entry Type,Identifier,,
193,Receivable and Payable Account,BBIE,Statement of Payable Account,8,Number of Journal Entry,1,C..60,60,GB_ Statement of Payable Account. Number of Journal Entry,,GB,Statement of Payable Account,Number of Journal Entry,Identifier,,
194,Receivable and Payable Account,BBIE,Statement of Payable Account,9,Functional Currency,1,C..30,30,GB_ Statement of Payable Account. Functional Currency,The recording currency used in financial accounting of software Note:Indicated according to GB/T 12406-2008,GB,Statement of Payable Account,Functional Currency,Identifier,,
195,Receivable and Payable Account,BBIE,Statement of Payable Account,10,Exchange Rate,1,D13.4,13,GB_ Statement of Payable Account. Exchange Rate,The exchange rate,GB,Statement of Payable Account,Exchange Rate,Rate,,
196,Receivable and Payable Account,BBIE,Statement of Payable Account,11,Debit or Credit Balance,1,C..4,4,GB_ Statement of Payable Account. Debit or Credit Balance,"Debit or credit balance Note:e.g., 'credit' or 'debit'",GB,Statement of Payable Account,Debit or Credit Balance,Identifier,,
197,Receivable and Payable Account,BBIE,Statement of Payable Account,12,Balance of Functional Currency,1,D20.2,20,GB_ Statement of Payable Account. Balance of Functional Currency,"The balance of receivables, payables or collection business and payment which measured in functional currency",GB,Statement of Payable Account,Balance of Functional Currency,Amount,,
198,Receivable and Payable Account,BBIE,Statement of Payable Account,13,Balance of Local Currency,1,D20.2,20,GB_ Statement of Payable Account. Balance of Local Currency,The balance of account receivables or payables which is calculated in local currency,GB,Statement of Payable Account,Balance of Local Currency,Amount,,
199,Receivable and Payable Account,BBIE,Statement of Payable Account,14,Debit or Credit Amount of Functional Currency,1,D20.2,20,GB_ Statement of Payable Account. Debit or Credit Amount of Functional Currency,The debit or credit amount of business in functional currency,GB,Statement of Payable Account,Debit or Credit Amount of Functional Currency,Amount,,
200,Receivable and Payable Account,BBIE,Statement of Payable Account,15,Name of Local Currency,1,C..30,30,GB_ Statement of Payable Account. Name of Local Currency,The name of local currency,GB,Statement of Payable Account,Name of Local Currency,Identifier,,
201,Receivable and Payable Account,BBIE,Statement of Payable Account,16,Debit or Credit Amount of Local Currency,1,D20.2,20,GB_ Statement of Payable Account. Debit or Credit Amount of Local Currency,The debit or credit amount of business in local currency Note:The exchange gains and losses recorded by the local currency may be 0,GB,Statement of Payable Account,Debit or Credit Amount of Local Currency,Amount,,
202,Receivable and Payable Account,BBIE,Statement of Payable Account,17,Summary,1,C..200,200,GB_ Statement of Payable Account. Summary,A brief description of the business,GB,Statement of Payable Account,Summary,Text,,
203,Receivable and Payable Account,BBIE,Statement of Payable Account,18,Due Date,1,C8,8,GB_ Statement of Payable Account. Due Date,"The due date of the account receivable Note:If a transaction has more than one due date, it is necessary to export each transaction due date as 'YYYYMMDD'",GB,Statement of Payable Account,Due Date,Date,,
204,Receivable and Payable Account,BBIE,Statement of Payable Account,19,Number of Write-Off Journal Entry,1,C..60,60,GB_ Statement of Payable Account. Number of Write-Off Journal Entry,"The number of write-off journal entry corresponding to the current transaction Note:1)If the current document is a receivable sheet (invoice), the write-off journal entry is the certification number of the corresponding cash register. If the current document is a receipt note, the write-off journal entry is the certification number of the corresponding note receivable. (2)If a business has been involved in several verification, it is necessary to export corresponding write-off journal entry according to document number",GB,Statement of Payable Account,Number of Write-Off Journal Entry,Identifier,,
205,Receivable and Payable Account,BBIE,Statement of Payable Account,20,Date of Reconciliation,1,C8,8,GB_ Statement of Payable Account. Date of Reconciliation,The date of reconciliation of the current business Note:'YYYYMMDD' according to the GB/T 7408-2005,GB,Statement of Payable Account,Date of Reconciliation,Date,,
206,Receivable and Payable Account,BBIE,Statement of Payable Account,21,Number of Document Type,1,C..60,60,GB_ Statement of Payable Account. Number of Document Type,The serial number of document type,GB,Statement of Payable Account,Number of Document Type,Identifier,,
207,Receivable and Payable Account,BBIE,Statement of Payable Account,22,Code of Transaction Type,1,C..60,60,GB_ Statement of Payable Account. Code of Transaction Type,"The code of transaction type Note:The transaction type is a refinement of the document type, different types of transactions reflect different rules and processing procedures in business",GB,Statement of Payable Account,Code of Transaction Type,Identifier,,
208,Receivable and Payable Account,BBIE,Statement of Payable Account,23,Number of Document,1,C..60,60,GB_ Statement of Payable Account. Number of Document,The serial number of receivables invoices,GB,Statement of Payable Account,Number of Document,Identifier,,
209,Receivable and Payable Account,BBIE,Statement of Payable Account,24,Invoice Number,1,C..60,60,GB_ Statement of Payable Account. Invoice Number,The invoice number of receivables,GB,Statement of Payable Account,Invoice Number,Identifier,,
210,Receivable and Payable Account,BBIE,Statement of Payable Account,25,Contract Number,1,C..60,60,GB_ Statement of Payable Account. Contract Number,The related contract number of the receivables,GB,Statement of Payable Account,Contract Number,Identifier,,
211,Receivable and Payable Account,BBIE,Statement of Payable Account,26,Item Number,1,C..60,60,GB_ Statement of Payable Account. Item Number,The recording the related item number of the receivables,GB,Statement of Payable Account,Item Number,Identifier,,
212,Receivable and Payable Account,BBIE,Statement of Payable Account,27,Code of Settlement Method,1,C..60,60,GB_ Statement of Payable Account. Code of Settlement Method,The code of the form of funds settlement,GB,Statement of Payable Account,Code of Settlement Method,Identifier,,
